STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Renens VD, gare sud;8588983;0;;146;;2534082;1154287
Chavannes-R., Glycines;8593869;216;146;64;17;2533869;1154252
Chavannes-R., Planta;8591933;574;64;24;23;2533594;1154023
Chavannes-R., Concorde;8593868;802;24;43;25;2533691;1153816
Chavannes-R., Cèdres;8507227;1069;43;22;19;2533580;1153574
Chavannes-R., Plaine;8593867;1250;22;68;19;2533535;1153398
Chavannes-R., Berges;8594986;1484;68;53;16;2533735;1153276
Chavannes-R., Mouline;8594987;1851;53;115;21;2534069;1153126
Ecublens VD, UNIL-Sorge;8501213;2456;115;33711;24;2533622;1152717
Ecublens VD, Argand;8591944;2726;33711;94;18;2533488;1152483
St-Sulpice VD, Pâqueret;8592227;3163;94;80;19;2533389;1152057
St-Sulpice VD, Russel;8592226;3701;80;49;15;2532871;1151912
St-Sulpice VD, Bochet;8588157;4096;49;70;20;2532528;1151716
St-Sulpice VD, centre;8588158;4474;70;57;21;2532419;1151355
St-Sulpice VD, Chantres;8588155;4827;57;37;18;2532069;1151404
St-Sulpice VD, Laviau;8588156;5068;37;100;17;2531846;1151495
St-Sulpice VD, Venoge sud;8579231;5439;100;;;2531519;1151671
